Format Version,1.23,Take Name,John_Door_02_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,60.000000,Capture Start Time,2025-04-30 07.10.15.597 ,Capture Start Frame,34485,Total Frames in Take,117,Total Exported Frames,59,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type
,Name
,ID
,
Frame,Time (Seconds)
0,0.000000
1,0.016667
2,0.033333
3,0.050000
4,0.066667
5,0.083333
6,0.100000
7,0.116667
8,0.133333
9,0.150000
10,0.166667
11,0.183333
12,0.200000
13,0.216667
14,0.233333
15,0.250000
16,0.266667
17,0.283333
18,0.300000
19,0.316667
20,0.333333
21,0.350000
22,0.366667
23,0.383333
24,0.400000
25,0.416667
26,0.433333
27,0.450000
28,0.466667
29,0.483333
30,0.500000
31,0.516667
32,0.533333
33,0.550000
34,0.566667
35,0.583333
36,0.600000
37,0.616667
38,0.633333
39,0.650000
40,0.666667
41,0.683333
42,0.700000
43,0.716667
44,0.733333
45,0.750000
46,0.766667
47,0.783333
48,0.800000
49,0.816667
50,0.833333
51,0.850000
52,0.866667
53,0.883333
54,0.900000
55,0.916667
56,0.933333
57,0.950000
58,0.966667
